Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Text Area 2,Text Area 3,Custom Shape,GCT,Group,Optional,Shape ID,"type ""1""  to show  uom","type ""1""  to show kn-code","type ""1"" to activate kn colors"
238,AdvancedSwimLaneBlockRotated,Flowchart Shapes,230,,,,,,,,External Partner,,,,,,,,,,
239,AdvancedSwimLaneBlockRotated,Flowchart Shapes,230,,,,,,,,Data/Documents,,,,,,,,,,
240,MinimalTextBlock,Standard,230,,,,,,,,WC02_P001 - adidas Italy - Primary Inbound Flow - Automated conveyables,,,,,,,,,,
241,User Image,User Images,230,,,,,,,,,,,,,,,,,,
242,User Image,User Images,230,,,,,,,,,,,,,,,,,,
243,MinimalTextBlock,Standard,230,,,,,,,,"Last modified: 12.05.2022 | 15:58 h
Page 2 of 2",,,,,,,,,,
244,MinimalTextBlock,Standard,230,,,,,,,,"Kuehne + Nagel | Contract Logistics
WC02_P001 - adidas Italy - Primary Inbound Flow - Automated conveyables | 2 Pager -  Background ",,,,,,,,,,
245,MinimalTextBlock,Standard,230,,,,,,,,WC02_P001 - adidas Italy - Primary Inbound Flow - Automated conveyables,,,,,,,,,,
246,Page,,,,,,,,,,3 Pager -  Background,,,,,,,,,,
247,Text,Standard,246,253:2,,,,,,,,,,,,,,,,,
248,Text,Standard,246,,,,,,,,,,,,,,,,,,
249,Text,Standard,246,,,,,,,,,,,,,,,,,,
250,MinimalTextBlock,Standard,246,,,,,,,,"Last modified: 12.05.2022 | 15:58 h
Page 1 of 3 ",,,,,,,,,,
251,MinimalTextBlock,Standard,246,,,,,,,,"Kuehne + Nagel | Contract Logistics
WC02_P001 - adidas Italy - Primary Inbound Flow - Automated conveyables | 3 Pager -  Background",,,,,,,,,,
252,AdvancedSwimLaneBlockRotated,Flowchart Shapes,246,,,,,,,,WCS,,,,,,,,,,
253,AdvancedSwimLaneBlockRotated,Flowchart Shapes,246,,,,,,,,KN System,KN Admin,KN Warehouse,,,,,,,,
254,AdvancedSwimLaneBlockRotated,Flowchart Shapes,246,,,,,,,,Customer,,,,,,,,,,
255,AdvancedSwimLaneBlockRotated,Flowchart Shapes,246,,,,,,,,Data/Documents,,,,,,,,,,
256,MinimalTextBlock,Standard,246,,,,,,,,WC02_P001 - adidas Italy - Primary Inbound Flow - Automated conveyables,,,,,,,,,,
257,User Image,User Images,246,,,,,,,,,,,,,,,,,,
258,User Image,User Images,246,,,,,,,,,,,,,,,,,,
259,MinimalTextBlock,Standard,246,,,,,,,,"Last modified: 12.05.2022 | 15:58 h
Page 2 of 3",,,,,,,,,,
